,Année,Température moyenne
0,1901,-18.226516666666665
1,1902,-18.593541666666663
2,1903,-18.753216666666667
3,1904,-18.987083333333334
4,1905,-18.330391666666667
5,1906,-19.483158333333332
6,1907,-19.434058333333333
7,1908,-18.1584
8,1909,-18.568041666666662
9,1910,-19.66293333333333
10,1911,-18.82806666666667
11,1912,-18.504825
12,1913,-18.777124999999998
13,1914,-20.379516666666664
14,1915,-19.029591666666672
15,1916,-18.39525
16,1917,-19.83073333333333
17,1918,-20.03776666666667
18,1919,-19.257158333333333
19,1920,-18.94559166666667
20,1921,-18.99813333333333
21,1922,-18.53768333333333
22,1923,-17.722483333333333
23,1924,-17.842466666666663
24,1925,-17.681449999999998
25,1926,-17.44213333333333
26,1927,-17.614908333333332
27,1928,-16.632516666666664
28,1929,-16.847683333333332
29,1930,-16.885433333333335
30,1931,-17.245933333333337
31,1932,-16.813275
32,1933,-16.537983333333333
33,1934,-17.045175
34,1935,-16.9412
35,1936,-17.10618333333333
36,1937,-17.3455
37,1938,-17.700016666666667
38,1939,-16.944925
39,1940,-17.295908333333333
40,1941,-17.027316666666668
41,1942,-17.354775
42,1943,-18.434466666666665
43,1944,-17.874983333333336
44,1945,-17.26285
45,1946,-16.77595833333333
46,1947,-16.347374999999996
47,1948,-18.111391666666666
48,1949,-18.281516666666665
49,1950,-18.17294166666667
50,1951,-18.64734166666667
51,1952,-17.589816666666664
52,1953,-17.764216666666666
53,1954,-17.71340833333333
54,1955,-18.171116666666666
55,1956,-18.248324999999998
56,1957,-17.783775000000002
57,1958,-17.417425
58,1959,-18.07260833333333
59,1960,-17.1616
60,1961,-18.323325
61,1962,-17.430308333333333
62,1963,-17.911491666666667
63,1964,-18.106991666666666
64,1965,-17.46025
65,1966,-18.649441666666668
66,1967,-18.329183333333333
67,1968,-18.75000833333333
68,1969,-18.17170833333333
69,1970,-18.359325
70,1971,-18.871708333333334
71,1972,-18.420508333333338
72,1973,-18.551775000000003
73,1974,-17.995049999999996
74,1975,-18.931500000000003
75,1976,-17.85245
76,1977,-18.014950000000002
77,1978,-18.228016666666665
78,1979,-18.414825
79,1980,-17.429475
80,1981,-17.539791666666662
81,1982,-18.682416666666665
82,1983,-19.331766666666667
83,1984,-18.699416666666668
84,1985,-17.738674999999997
85,1986,-18.1564
86,1987,-18.347066666666667
87,1988,-17.616108333333333
88,1989,-18.92715
89,1990,-17.87173333333333
90,1991,-17.618891666666666
91,1992,-18.71130833333333
92,1993,-18.51384166666666
93,1994,-18.002941666666665
94,1995,-17.806516666666667
95,1996,-17.134766666666664
96,1997,-17.713208333333334
97,1998,-17.001025
98,1999,-17.734741666666665
99,2000,-17.67935
100,2001,-17.397616666666668
101,2002,-16.835741666666667
102,2003,-16.552441666666667
103,2004,-17.3058
104,2005,-16.07166666666667
105,2006,-16.608025
106,2007,-16.696258333333336
107,2008,-16.90314166666667
108,2009,-16.96116666666667
109,2010,-15.695599999999999
110,2011,-16.44764166666667
111,2012,-16.416091666666667
112,2013,-17.33053333333333
113,2014,-16.27593333333333
114,2015,-17.133141666666667
115,2016,-15.333200000000003
