Temperature - (Celsius), Year, Month, Country, ISO3
-28.489, 1901, Jan, Greenland, GRL
-22.256, 1901, Feb, Greenland, GRL
-28.488, 1901, Mar, Greenland, GRL
-24.147, 1901, Apr, Greenland, GRL
-14.213, 1901, May, Greenland, GRL
-7.1137, 1901, Jun, Greenland, GRL
-3.5183, 1901, Jul, Greenland, GRL
-6.5092, 1901, Aug, Greenland, GRL
-13.324, 1901, Sep, Greenland, GRL
-20.922, 1901, Oct, Greenland, GRL
-23.317, 1901, Nov, Greenland, GRL
-26.421, 1901, Dec, Greenland, GRL
-28.426, 1902, Jan, Greenland, GRL
-27.647, 1902, Feb, Greenland, GRL
-31.757, 1902, Mar, Greenland, GRL
-22.711, 1902, Apr, Greenland, GRL
-13.472, 1902, May, Greenland, GRL
-5.4577, 1902, Jun, Greenland, GRL
-3.2465, 1902, Jul, Greenland, GRL
-5.4093, 1902, Aug, Greenland, GRL
-13.345, 1902, Sep, Greenland, GRL
-18.692, 1902, Oct, Greenland, GRL
-25.183, 1902, Nov, Greenland, GRL
-27.776, 1902, Dec, Greenland, GRL
-26.786, 1903, Jan, Greenland, GRL
-30.068, 1903, Feb, Greenland, GRL
-32.785, 1903, Mar, Greenland, GRL
-23.46, 1903, Apr, Greenland, GRL
-14.142, 1903, May, Greenland, GRL
-6.6055, 1903, Jun, Greenland, GRL
-3.2093, 1903, Jul, Greenland, GRL
-7.0968, 1903, Aug, Greenland, GRL
-13.01, 1903, Sep, Greenland, GRL
-18.9, 1903, Oct, Greenland, GRL
-25.294, 1903, Nov, Greenland, GRL
-23.682, 1903, Dec, Greenland, GRL
-28.154, 1904, Jan, Greenland, GRL
-29.401, 1904, Feb, Greenland, GRL
-30.599, 1904, Mar, Greenland, GRL
-25.307, 1904, Apr, Greenland, GRL
-12.985, 1904, May, Greenland, GRL
-6.4625, 1904, Jun, Greenland, GRL
-3.2119, 1904, Jul, Greenland, GRL
-4.8966, 1904, Aug, Greenland, GRL
-13.457, 1904, Sep, Greenland, GRL
-22.451, 1904, Oct, Greenland, GRL
-25.859, 1904, Nov, Greenland, GRL
-25.061, 1904, Dec, Greenland, GRL
-29.63, 1905, Jan, Greenland, GRL
-29.494, 1905, Feb, Greenland, GRL
-26.403, 1905, Mar, Greenland, GRL
-19.724, 1905, Apr, Greenland, GRL
-12.906, 1905, May, Greenland, GRL
-6.7111, 1905, Jun, Greenland, GRL
-3.1305, 1905, Jul, Greenland, GRL
-6.0831, 1905, Aug, Greenland, GRL
-14.608, 1905, Sep, Greenland, GRL
-18.85, 1905, Oct, Greenland, GRL
-24.242, 1905, Nov, Greenland, GRL
-28.183, 1905, Dec, Greenland, GRL
-29.244, 1906, Jan, Greenland, GRL
-31.985, 1906, Feb, Greenland, GRL
-31.003, 1906, Mar, Greenland, GRL
-25.245, 1906, Apr, Greenland, GRL
-13.615, 1906, May, Greenland, GRL
-6.7442, 1906, Jun, Greenland, GRL
-3.4913, 1906, Jul, Greenland, GRL
-4.8224, 1906, Aug, Greenland, GRL
-12.653, 1906, Sep, Greenland, GRL
-20.217, 1906, Oct, Greenland, GRL
-26.931, 1906, Nov, Greenland, GRL
-27.847, 1906, Dec, Greenland, GRL
-28.786, 1907, Jan, Greenland, GRL
-31.204, 1907, Feb, Greenland, GRL
-33.129, 1907, Mar, Greenland, GRL
-25.147, 1907, Apr, Greenland, GRL
-14.304, 1907, May, Greenland, GRL
-6.9849, 1907, Jun, Greenland, GRL
-3.2419, 1907, Jul, Greenland, GRL
-6.0769, 1907, Aug, Greenland, GRL
-13.711, 1907, Sep, Greenland, GRL
-18.791, 1907, Oct, Greenland, GRL
-26.539, 1907, Nov, Greenland, GRL
-25.294, 1907, Dec, Greenland, GRL
-27.131, 1908, Jan, Greenland, GRL
-30.769, 1908, Feb, Greenland, GRL
-26.996, 1908, Mar, Greenland, GRL
-20.424, 1908, Apr, Greenland, GRL
-13.762, 1908, May, Greenland, GRL
-6.4881, 1908, Jun, Greenland, GRL
-1.664, 1908, Jul, Greenland, GRL
-6.3207, 1908, Aug, Greenland, GRL
-12.075, 1908, Sep, Greenland, GRL
-20.179, 1908, Oct, Greenland, GRL
-25.029, 1908, Nov, Greenland, GRL
-27.063, 1908, Dec, Greenland, GRL
-30.887, 1909, Jan, Greenland, GRL
-27.204, 1909, Feb, Greenland, GRL
-26.692, 1909, Mar, Greenland, GRL
-21.463, 1909, Apr, Greenland, GRL
-12.473, 1909, May, Greenland, GRL
-5.1728, 1909, Jun, Greenland, GRL
-3.2481, 1909, Jul, Greenland, GRL
-6.3026, 1909, Aug, Greenland, GRL
-12.34, 1909, Sep, Greenland, GRL
-21.964, 1909, Oct, Greenland, GRL
-24.452, 1909, Nov, Greenland, GRL
-30.618, 1909, Dec, Greenland, GRL
-31.499, 1910, Jan, Greenland, GRL
-32.929, 1910, Feb, Greenland, GRL
-31.642, 1910, Mar, Greenland, GRL
-23.556, 1910, Apr, Greenland, GRL
-13.695, 1910, May, Greenland, GRL
-7.199, 1910, Jun, Greenland, GRL
-3.3504, 1910, Jul, Greenland, GRL
-4.8078, 1910, Aug, Greenland, GRL
-13.487, 1910, Sep, Greenland, GRL
-19.374, 1910, Oct, Greenland, GRL
-27.263, 1910, Nov, Greenland, GRL
-27.153, 1910, Dec, Greenland, GRL
-28.278, 1911, Jan, Greenland, GRL
-33.963, 1911, Feb, Greenland, GRL
-29.189, 1911, Mar, Greenland, GRL
-21.791, 1911, Apr, Greenland, GRL
-13.433, 1911, May, Greenland, GRL
-6.347, 1911, Jun, Greenland, GRL
-3.1096, 1911, Jul, Greenland, GRL
